Q,5399999,53.000 10500 52.950 1000 52.900 2000,53.050 5000 53.100 15000 53.150 3000
T,5400000,53,66000
Q,5400002,53.000 10500 52.950 500 52.900 2000,53.050 5000 53.100 16500 53.150 3000
Q,5400008,52.900 2000 52.850 500 52.800 3500,53.050 5000 53.100 16500 53.150 3000
Q,5400008,52.900 2000 52.850 500 52.800 3500,53.050 5000 53.100 14000 53.150 3000
Q,5400008,52.900 2000 52.850 500 52.800 3500,53.050 5000 53.100 9500 53.150 3000
Q,5400008,52.900 2000 52.850 500 52.800 3500,53.050 5000 53.100 5000 53.150 3000
Q,5400008,52.900 2000 52.850 500 52.800 3500,53.050 5000 53.100 2500 53.150 3000
Q,5400011,52.900 2000 52.850 500 52.800 3500,53.050 5000 53.150 3000 53.200 500
Q,5400014,52.850 500 52.800 3500 52.750 2500,53.050 5000 53.150 3000 53.200 500
Q,5400058,52.850 500 52.800 3500 52.750 2500,53.050 5000 53.150 3000 53.200 500
Q,5400060,52.800 3500 52.750 2500 52.600 8000,53.050 5000 53.150 3000 53.200 500
Q,5400060,52.800 3500 52.750 2500 52.600 8000,53.050 5000 53.150 3000 53.300 4500
Q,5400060,52.800 3500 52.750 2500 52.600 8000,53.050 5000 53.150 3000 53.300 4000
Q,5400070,52.800 3500 52.750 2500 52.600 8000,53.050 5000 53.150 3000 53.300 4000
Q,5400071,52.800 3500 52.750 2500 52.600 8000,53.050 5000 53.150 3000 53.300 4000
Q,5400087,52.800 3500 52.750 2500 52.600 8000,53.050 5000 53.150 3000 53.300 4000
Q,5400103,52.800 3500 52.750 2500 52.600 8000,53.050 5500 53.150 3000 53.300 4000
Q,5400103,52.800 4000 52.750 2500 52.600 8000,53.050 5500 53.150 3000 53.300 4000
Q,5400122,52.800 4000 52.750 2500 52.600 8000,53.050 5500 53.150 3000 53.300 4000
Q,5400137,53.000 2000 52.800 4000 52.750 2500,53.050 5500 53.150 3000 53.300 4000
Q,5400137,53.000 2000 52.800 4000 52.750 2500,53.050 5500 53.150 3000 53.300 4000
Q,5400159,53.000 2000 52.800 4000 52.750 2500,53.050 55500 53.150 3000 53.300 4000
Q,5400180,53.000 2000 52.900 500 52.800 4000,53.050 55500 53.150 3000 53.300 4000
Q,5400213,53.000 2000 52.900 2000 52.800 4000,53.050 55500 53.150 3000 53.300 4000
Q,5400257,53.000 3000 52.900 2000 52.800 4000,53.050 55500 53.150 3000 53.300 4000
Q,5400434,53.000 3500 52.900 2000 52.800 4000,53.050 55500 53.150 3000 53.300 4000
Q,5400483,53.000 3500 52.900 2000 52.800 5000,53.050 55500 53.150 3000 53.300 4000
Q,5400484,52.900 2000 52.800 5000 52.750 2500,53.050 55500 53.150 3000 53.300 4000
Q,5400714,52.900 3500 52.800 5000 52.750 2500,53.050 55500 53.150 3000 53.300 4000
Q,5400715,53.000 1500 52.900 3500 52.800 5000,53.050 55500 53.150 3000 53.300 4000
Q,5400812,53.000 1500 52.900 4000 52.800 5000,53.050 55500 53.150 3000 53.300 4000
Q,5400838,53.000 1500 52.900 4000 52.800 5000,53.050 71000 53.150 3000 53.300 4000
Q,5400857,53.000 1500 52.900 4000 52.800 5000,53.050 70500 53.150 3000 53.300 4000
Q,5400857,53.000 1500 52.900 4000 52.800 4000,53.050 70500 53.150 3000 53.300 4000
T,5401000,52.8,5500
Q,5401007,53.000 1500 52.900 5000 52.800 4000,53.050 70500 53.150 3000 53.300 4000
Q,5401027,53.000 1500 52.900 5000 52.800 4000,53.050 71500 53.150 3000 53.300 4000
Q,5401027,53.000 1500 52.900 5000 52.800 4000,53.050 71500 53.300 4000 53.350 5000
Q,5401027,52.900 5000 52.800 4000 52.750 2500,53.000 1500 53.050 71500 53.300 4000
Q,5401027,52.900 5000 52.800 4000 52.750 2500,53.000 1500 53.050 71500 53.300 1000
Q,5401047,52.900 5000 52.800 4000 52.750 2500,53.000 4500 53.050 71500 53.300 1000
Q,5401080,52.900 5000 52.800 4000 52.750 2500,53.000 4500 53.050 71500 53.100 500
Q,5401081,52.900 5000 52.800 4000 52.750 2500,53.000 4500 53.050 71500 53.100 500
Q,5401088,52.900 5000 52.800 4000 52.750 2500,53.000 5000 53.050 71500 53.100 500